                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2891,                 1.9489,                 1.4999,                0.56977,                 0.3894,                0.39974,                0.15525,                  2.195,                 2.2647,                 2.2391,             0.00023557,             0.00023557,             0.00023557
                      2,                 1.2978,                 1.6482,                 1.4961,                0.54479,                0.33953,                0.35192,                0.13639,                  2.187,                 3.2014,                  2.279,             0.00047201,             0.00047201,             0.00047201
                      3,                 1.3102,                  1.672,                 1.5083,                0.42214,                0.40453,                0.36758,                0.17378,                 2.1129,                  3.683,                 2.2038,             0.00070688,             0.00070688,             0.00070688
                      4,                 1.3177,                 1.6499,                 1.4973,                0.49155,                0.41834,                0.40018,                0.16396,                 2.1714,                 2.9034,                 2.2356,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.2512,                 1.5313,                 1.4586,                0.62147,                0.46033,                0.48121,                0.20475,                 2.1162,                  1.986,                 2.1488,             0.00070693,             0.00070693,             0.00070693
                      6,                  1.239,                 1.5063,                 1.4475,                0.66285,                0.44287,                0.50422,                0.21313,                 2.0304,                 1.8922,                 2.1161,             0.00070458,             0.00070458,             0.00070458
                      7,                 1.2068,                 1.4119,                 1.4247,                0.68297,                 0.4999,                 0.5472,                0.26292,                 1.9451,                  1.711,                 2.0117,             0.00070222,             0.00070222,             0.00070222
                      8,                 1.1842,                 1.3885,                 1.4063,                0.70365,                0.51559,                0.56994,                0.26529,                 1.9485,                 1.6193,                  2.014,             0.00069986,             0.00069986,             0.00069986
                      9,                  1.163,                 1.3393,                 1.3915,                0.71086,                0.56134,                0.59054,                0.27045,                 1.9676,                 1.4677,                 1.9984,             0.00069751,             0.00069751,             0.00069751
                     10,                 1.1389,                  1.263,                 1.3758,                0.72197,                0.56531,                0.62529,                0.28124,                  1.896,                 1.4688,                 1.9835,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.1164,                 1.1991,                 1.3471,                 0.7819,                0.57006,                0.64185,                0.28827,                 1.9809,                 1.3532,                 2.0338,             0.00069279,             0.00069279,             0.00069279
                     12,                 1.1075,                 1.1836,                 1.3475,                0.73977,                0.61262,                0.65224,                0.32461,                 1.8402,                 1.4081,                 1.9217,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.0851,                 1.1606,                 1.3357,                0.75441,                0.60409,                0.65035,                0.29488,                 1.9332,                 1.3612,                 1.9451,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.0649,                 1.1088,                 1.3201,                0.77431,                0.60232,                0.64549,                0.32203,                 1.8085,                 1.2531,                  1.891,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.0665,                 1.1055,                  1.317,                0.77503,                0.58465,                0.65717,                0.33997,                 1.7344,                 1.2773,                 1.8071,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.0583,                 1.0764,                 1.3043,                0.78661,                0.62315,                0.68905,                0.34324,                 1.8521,                 1.2002,                 1.9155,             0.00068101,             0.00068101,             0.00068101
                     17,                 1.0546,                 1.0568,                 1.3095,                0.76543,                0.61924,                0.65563,                0.31506,                 1.8114,                 1.2042,                 1.9312,             0.00067866,             0.00067866,             0.00067866
                     18,                  1.026,                 1.0138,                  1.285,                0.78459,                0.64272,                0.70033,                0.35191,                 1.7816,                 1.1397,                 1.9031,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.0108,                 0.9946,                 1.2795,                0.80747,                0.59674,                0.66823,                 0.3326,                 1.7872,                 1.1483,                 1.9162,             0.00067394,             0.00067394,             0.00067394
                     20,                 1.0029,                0.97454,                 1.2748,                0.76024,                0.67843,                0.70322,                  0.347,                 1.8284,                  1.104,                  1.939,             0.00067159,             0.00067159,             0.00067159
                     21,                 0.9798,                0.93167,                  1.252,                0.83457,                0.62713,                0.70011,                0.35327,                 1.7951,                 1.0879,                 1.8687,             0.00066923,             0.00066923,             0.00066923
                     22,                0.97207,                0.91912,                 1.2467,                0.78966,                0.63825,                0.70223,                0.35686,                 1.7858,                 1.1626,                 1.8812,             0.00066688,             0.00066688,             0.00066688
                     23,                0.96209,                0.89742,                 1.2389,                0.83024,                0.62248,                0.70627,                0.35879,                 1.7692,                 1.0581,                 1.9046,             0.00066452,             0.00066452,             0.00066452
                     24,                0.94872,                0.87947,                 1.2328,                0.83402,                 0.6504,                0.72559,                0.36565,                 1.8076,                 1.0467,                 1.9032,             0.00066216,             0.00066216,             0.00066216
                     25,                0.94592,                0.86145,                 1.2275,                0.82551,                0.68353,                0.72405,                0.38218,                 1.7198,                 1.0472,                  1.847,             0.00065981,             0.00065981,             0.00065981
                     26,                 0.9496,                0.88358,                 1.2333,                0.86533,                0.67267,                0.71977,                0.38184,                  1.707,                  1.025,                 1.7953,             0.00065745,             0.00065745,             0.00065745
                     27,                0.93361,                0.85219,                 1.2183,                0.86267,                0.65647,                0.73145,                 0.3709,                 1.7427,                0.99573,                 1.8487,             0.00065509,             0.00065509,             0.00065509
                     28,                0.92656,                0.83966,                 1.2156,                0.82557,                0.66061,                0.73131,                0.39123,                 1.6989,                 1.0112,                 1.7994,             0.00065274,             0.00065274,             0.00065274
                     29,                0.92033,                0.82452,                 1.2069,                0.81067,                0.63028,                0.69358,                0.37533,                 1.6139,                 1.0235,                  1.731,             0.00065038,             0.00065038,             0.00065038
                     30,                0.90295,                0.81053,                 1.1955,                0.80628,                 0.6808,                0.73008,                0.39675,                 1.6381,                0.95475,                 1.7346,             0.00064803,             0.00064803,             0.00064803
                     31,                0.90517,                0.80607,                 1.2013,                0.82253,                0.67312,                0.74525,                0.41137,                 1.5705,                0.95511,                 1.7136,             0.00064567,             0.00064567,             0.00064567
                     32,                0.89274,                0.77654,                 1.1849,                0.86389,                0.66778,                0.73053,                0.35674,                 1.7846,                 0.9982,                 1.8902,             0.00064331,             0.00064331,             0.00064331
                     33,                 0.8607,                0.75919,                  1.179,                0.87049,                0.67222,                0.74567,                0.41974,                 1.5728,                0.95173,                 1.6995,             0.00064096,             0.00064096,             0.00064096
                     34,                0.85774,                  0.748,                 1.1723,                0.85406,                0.67033,                0.73513,                0.42127,                 1.5475,                0.92236,                 1.6814,              0.0006386,              0.0006386,              0.0006386
                     35,                0.86681,                 0.7577,                  1.173,                  0.888,                0.68664,                0.75999,                0.40771,                 1.6345,                0.90184,                 1.7679,             0.00063625,             0.00063625,             0.00063625
                     36,                0.86295,                0.75054,                 1.1704,                0.86534,                0.65495,                0.74158,                0.41776,                 1.5414,                0.94879,                 1.6321,             0.00063389,             0.00063389,             0.00063389
                     37,                0.85141,                0.72666,                 1.1583,                0.87348,                0.67603,                0.75025,                0.41728,                 1.6068,                0.93213,                 1.7247,             0.00063153,             0.00063153,             0.00063153
                     38,                0.85318,                0.73919,                 1.1677,                0.90781,                0.65805,                0.74309,                0.41601,                 1.6426,                0.90742,                 1.7782,             0.00062918,             0.00062918,             0.00062918
                     39,                 0.8498,                0.73459,                 1.1638,                0.87379,                0.66858,                0.75311,                0.41912,                 1.6033,                 0.8992,                 1.7426,             0.00062682,             0.00062682,             0.00062682
                     40,                 0.8295,                0.71928,                 1.1504,                    0.9,                0.68532,                0.77524,                0.45419,                 1.4806,                0.82961,                  1.642,             0.00062446,             0.00062446,             0.00062446
                     41,                0.83668,                0.69534,                  1.147,                 0.8594,                0.67459,                0.76401,                0.45621,                 1.4596,                0.83029,                 1.6321,             0.00062211,             0.00062211,             0.00062211
                     42,                0.83605,                0.70103,                 1.1504,                0.87877,                0.68325,                0.75931,                0.44856,                 1.4833,                0.85958,                 1.6386,             0.00061975,             0.00061975,             0.00061975
                     43,                0.81007,                0.66622,                 1.1369,                 0.8789,                0.69187,                0.76352,                0.44746,                 1.4855,                0.82464,                 1.6778,              0.0006174,              0.0006174,              0.0006174
                     44,                0.82144,                0.68773,                 1.1385,                 0.8734,                0.68721,                0.76419,                0.43351,                 1.5573,                0.84266,                 1.7126,             0.00061504,             0.00061504,             0.00061504
                     45,                0.79626,                0.66038,                 1.1278,                0.91198,                0.69145,                0.77545,                 0.4752,                 1.3945,                  0.775,                  1.562,             0.00061268,             0.00061268,             0.00061268
                     46,                 0.7979,                0.66376,                 1.1279,                0.90288,                0.68503,                0.76085,                0.44149,                 1.4999,                0.82411,                 1.6506,             0.00061033,             0.00061033,             0.00061033
                     47,                 0.7833,                0.63455,                 1.1094,                0.86225,                0.69618,                 0.7738,                0.43374,                 1.5442,                0.83523,                 1.7174,             0.00060797,             0.00060797,             0.00060797
                     48,                0.77927,                0.64513,                 1.1141,                0.87412,                0.70791,                0.77985,                0.43736,                 1.5395,                0.81407,                 1.6864,             0.00060561,             0.00060561,             0.00060561
                     49,                0.78185,                0.64418,                  1.117,                0.92494,                0.67718,                0.77906,                0.45205,                 1.5167,                0.79159,                 1.6458,             0.00060326,             0.00060326,             0.00060326
                     50,                0.76823,                0.62139,                 1.1052,                0.86466,                0.70195,                 0.7773,                0.46737,                 1.3927,                0.80087,                 1.5483,              0.0006009,              0.0006009,              0.0006009
                     51,                0.77457,                0.63364,                 1.1121,                0.89735,                0.70239,                 0.7713,                 0.4359,                 1.5342,                0.85647,                 1.6597,             0.00059855,             0.00059855,             0.00059855
                     52,                 0.7763,                0.62746,                 1.1032,                0.87387,                0.68604,                0.76337,                0.47196,                 1.3934,                 0.8309,                 1.5772,             0.00059619,             0.00059619,             0.00059619
                     53,                0.76319,                0.60252,                 1.0956,                0.89207,                0.73058,                0.79759,                0.49047,                 1.3782,                0.74773,                  1.571,             0.00059383,             0.00059383,             0.00059383
                     54,                0.74912,                 0.6059,                 1.0915,                0.90002,                0.71728,                0.78753,                0.47109,                  1.414,                0.76047,                  1.596,             0.00059148,             0.00059148,             0.00059148
                     55,                0.74014,                0.59669,                 1.0981,                0.88518,                0.72621,                0.78413,                0.48149,                 1.4042,                0.77432,                 1.6212,             0.00058912,             0.00058912,             0.00058912
                     56,                0.75658,                0.60543,                 1.0983,                0.89181,                0.72079,                0.77969,                0.46663,                 1.4245,                0.82511,                 1.5746,             0.00058677,             0.00058677,             0.00058677
                     57,                0.73644,                0.58517,                 1.0858,                0.86906,                0.71919,                0.78517,                0.46026,                 1.4409,                 0.7541,                 1.6403,             0.00058441,             0.00058441,             0.00058441
                     58,                0.71998,                0.57473,                 1.0846,                0.90438,                0.71464,                0.78689,                0.46483,                 1.4268,                0.77871,                 1.6146,             0.00058205,             0.00058205,             0.00058205
                     59,                0.73003,                 0.5765,                 1.0793,                0.89416,                0.72864,                0.79041,                0.47163,                 1.4515,                0.76199,                 1.6294,              0.0005797,              0.0005797,              0.0005797
                     60,                0.72988,                0.57624,                  1.081,                0.86821,                0.74515,                0.80288,                 0.4803,                 1.4243,                  0.753,                 1.6176,             0.00057734,             0.00057734,             0.00057734
                     61,                 0.7054,                0.56066,                 1.0733,                0.87439,                 0.7208,                0.77771,                 0.4817,                  1.368,                0.72191,                 1.5915,             0.00057498,             0.00057498,             0.00057498
                     62,                0.72759,                0.58548,                 1.0813,                0.89585,                0.73553,                0.79694,                0.47463,                 1.4709,                0.74402,                 1.6605,             0.00057263,             0.00057263,             0.00057263
                     63,                0.71555,                0.56618,                  1.072,                0.90201,                0.72082,                0.79634,                0.49991,                 1.3215,                 0.7456,                 1.5229,             0.00057027,             0.00057027,             0.00057027
                     64,                0.71159,                0.56351,                 1.0694,                0.88272,                0.72277,                0.80108,                0.50062,                 1.3198,                0.71725,                 1.5338,             0.00056792,             0.00056792,             0.00056792
                     65,                 0.6923,                0.54865,                 1.0654,                0.89024,                0.74077,                0.80956,                0.47108,                 1.4854,                0.74412,                 1.6978,             0.00056556,             0.00056556,             0.00056556
                     66,                0.70649,                0.55733,                 1.0687,                0.89939,                0.72453,                0.79767,                 0.4899,                 1.3691,                0.72948,                 1.5673,              0.0005632,              0.0005632,              0.0005632
                     67,                0.70418,                0.55336,                 1.0672,                0.92452,                0.71365,                0.79754,                0.51214,                 1.2768,                0.69518,                 1.5209,             0.00056085,             0.00056085,             0.00056085
                     68,                0.68998,                0.53971,                 1.0579,                0.91153,                0.71586,                0.78406,                0.48388,                 1.3529,                0.73578,                 1.5548,             0.00055849,             0.00055849,             0.00055849
                     69,                0.69197,                0.55488,                 1.0689,                0.91402,                0.73132,                0.80098,                0.51202,                 1.3003,                0.68646,                  1.512,             0.00055613,             0.00055613,             0.00055613
                     70,                0.69459,                0.55078,                 1.0609,                0.90246,                0.72247,                0.79932,                0.51503,                 1.3178,                0.73802,                 1.4801,             0.00055378,             0.00055378,             0.00055378
                     71,                0.68615,                 0.5368,                 1.0548,                0.91531,                0.72159,                0.80247,                0.50432,                  1.315,                0.70195,                  1.529,             0.00055142,             0.00055142,             0.00055142
                     72,                 0.6829,                0.53877,                 1.0501,                 0.9519,                0.73089,                0.81964,                0.50916,                 1.3503,                0.70381,                 1.5469,             0.00054907,             0.00054907,             0.00054907
                     73,                0.68146,                 0.5397,                 1.0552,                0.91388,                0.74982,                0.81229,                0.48755,                 1.4265,                0.71255,                 1.6303,             0.00054671,             0.00054671,             0.00054671
                     74,                0.67811,                0.52071,                 1.0508,                  0.891,                0.75818,                0.81317,                0.50451,                 1.3458,                0.72116,                 1.5587,             0.00054435,             0.00054435,             0.00054435
                     75,                0.68134,                0.52292,                 1.0469,                0.91031,                0.72246,                0.80325,                 0.5154,                 1.3044,                0.67441,                 1.5278,               0.000542,               0.000542,               0.000542
                     76,                0.66843,                0.51955,                 1.0449,                0.90114,                0.74268,                0.80056,                0.48516,                 1.4037,                0.72218,                 1.6202,             0.00053964,             0.00053964,             0.00053964
                     77,                0.67271,                 0.5223,                 1.0496,                0.91131,                0.75149,                 0.8232,                 0.5124,                 1.3175,                0.70651,                 1.5361,             0.00053728,             0.00053728,             0.00053728
                     78,                 0.6776,                0.52166,                 1.0442,                0.90037,                0.76728,                0.82052,                 0.5232,                 1.2995,                0.69031,                  1.506,             0.00053493,             0.00053493,             0.00053493
                     79,                0.65733,                0.50935,                 1.0345,                 0.8839,                0.76473,                0.81108,                0.50915,                 1.3474,                0.69445,                 1.5597,             0.00053257,             0.00053257,             0.00053257
                     80,                0.65189,                0.50458,                 1.0386,                0.89776,                0.75678,                0.82139,                0.50961,                  1.345,                 0.6953,                 1.5737,             0.00053022,             0.00053022,             0.00053022
